sex,age,bw,bmi,bfp,height_cm,rmr,pal,nonresting_week,fm0,ffm0,p_ratio,ed_eff,met_ind
1,51.98663055910627,101.99703666159466,31.325849512094194,38.5407848155239,180.44395959224576,1753.1591354062655,1.431823995469944,5299.393277820364,39.31045841795622,62.686578243638444,0.5,5628.5,4.615369048894861
0,51.69633061696934,76.33089563583917,29.221749685927556,45.40904472434428,161.62073259060244,1255.5906140203206,1.318715049790755,2801.229375450037,34.66113053777077,41.6697650980684,0.5,5628.5,3.746522456200725
1,36.86070845376588,62.86397989818691,29.02251860325272,33.60477561709911,147.17477724881175,1384.0048607228277,1.4325394314293693,4190.456728867748,21.125299388764002,41.738680509422906,0.5,5628.5,4.8951565669151815
1,28.56891943776155,78.66727361409707,27.224461070529188,26.192084214670288,169.9876632419052,1584.8121039505238,1.43129816253764,4784.685838808905,20.604598554389405,58.062675059707665,0.5,5628.5,4.179523514398384
0,40.20142092299493,62.49006552985291,41.945093845946886,42.87516945912567,122.05762209152486,1000.0,1.3964473030235804,2775.131121165063,26.792721491043118,35.697344038809796,0.5,5628.5,5.538750213554322
1,35.10655520831299,86.84049007928392,35.15551896351938,30.98950910230194,157.16809028387158,1649.875734975507,1.5349403536893784,6178.095764479246,26.911441577603306,59.92904850168062,0.5,5628.5,3.3823354145563274
1,42.88405620044681,96.78628049658252,31.647980713436368,31.814670027042293,174.877484449636,1999.820148349691,1.3562254666402063,4986.7080587964865,30.792235771435323,65.9940447251472,0.5,5628.5,4.601111733946094
1,63.24655549619271,94.42505677458438,34.31866880236185,27.14562778801515,165.8740354793816,1574.1690133350135,1.41720595083774,4597.268759914188,25.632274450650662,68.79278232393372,0.5,5628.5,4.823884475514474
0,36.05466944066486,73.89495665669291,34.75153983363724,42.494416611906,145.82110098488738,1223.1660671481743,1.3188505951317862,2730.050599186412,31.40123073688245,42.49372591981046,0.5,5628.5,4.400563550477021
0,40.65760667088086,96.71050257942039,30.05977120014087,45.454314611911,179.36759488691575,1726.0470944092992,1.3803201659838185,4595.153622091426,43.959096105210044,52.75140647421035,0.5,5628.5,5.587725749153452
0,52.12197021871376,90.68561740083663,31.297904860421944,38.706327257126084,170.22038718090906,1492.0026061936774,1.3547558554814614,3705.0766265856555,35.101071846313104,55.58454555452353,0.5,5628.5,4.192043482889706
1,45.999630498429354,109.74260061093521,33.98318760940683,40.76126038572557,179.70309926183964,2404.0498056380534,1.4421389886597369,7440.469048267122,44.732467189090166,65.01013342184504,0.5,5628.5,3.3679510809241178
1,29.117970808412842,84.46642089193978,37.686984433038134,25.289402785648583,149.7084631000854,1781.6519172479543,1.4578174431564264,5709.699277444423,21.361053397983873,63.1053674939559,0.5,5628.5,4.790811062714891
1,35.29206468298061,90.75035730503689,29.347376243687343,31.124580351634343,175.8488497413005,1786.2115458199476,1.4857895039250122,6074.05974524301,28.245667878801473,62.504689426235416,0.5,5628.5,4.526094104020676
0,60.39443398479152,82.85511600985622,38.02579543566078,44.64126702226561,147.61160795642343,1139.9980961507265,1.350851469352611,2799.790049655631,36.98757357956786,45.86754243028836,0.5,5628.5,4.6684289130058385
0,32.66580450663524,83.88174509600444,34.6409811450986,40.170362814573494,155.61040622516109,1373.4500534943713,1.4319617489758867,4152.945210669177,33.695601340260694,50.18614375574374,0.5,5628.5,4.583261512877639
1,49.46827892387472,88.98582855571594,33.38774456983322,38.09491522846908,163.25514730507743,1798.7177571096522,1.4037076158769384,5083.092401507761,33.899075953650815,55.086752602065125,0.5,5628.5,4.852248964231945
0,54.31203870727494,58.721047338850184,29.547448408308092,44.22526971058357,140.9733126130571,1025.2560054346036,1.4092757706032295,2937.2870918288536,25.969541562485947,32.75150577636424,0.5,5628.5,4.464684504302725
